response,context,context/0
Old comic books. I lost this to Wolowitz in an ill-considered cricket wager.,What do you have a safe deposit box for?,Old comic book. I just retrieved it from my safe deposit box.
"Penny, Id rather not talk about it.","What, do they have Wii cricket now? That cant be very popular.",Old comic books. I lost this to Wolowitz in an ill-considered cricket wager.
Why would that make me feel better?,"Well, if it makes you feel any better, Im not feeling so hot either.","Penny, Id rather not talk about it."
"Yes, yes, the disappointing sex. Thats an inexact parallel. You and Leonard can always return to being friends, whereas I can never return to a state in which Wolowitz has not bested me like Mrs. Rileys chicken.","I dont know, empathy? Anyway, Im just saying that youre feeling upset about something with Howard, and Im upset about something with Leonard.",Why would that make me feel better?
A chicken that was owned by Mrs. Riley.,Whats Mrs. Rileys chicken?,"Yes, yes, the disappointing sex. Thats an inexact parallel. You and Leonard can always return to being friends, whereas I can never return to a state in which Wolowitz has not bested me like Mrs. Rileys chicken."
"Well, I wish I could.","Okay, forget the chicken.",A chicken that was owned by Mrs. Riley.
Of course Im right What are the odds Id be wrong twice in one week?,"No, no. You may be right about me and Leonard.","Well, I wish I could."
I just said that. This conversation has started to circle. Meeting adjourned.,"No, I mean, we can always go back to being friends.",Of course Im right What are the odds Id be wrong twice in one week?
Hello.,I just said that. This conversation has started to circle. Meeting adjourned.,"No, I mean, we can always go back to being friends."
"Oh, youd like to catch up on the events of the day. All right. Well, there was a half-hour wait at the bank to get into my safe deposit box, I was forced to talk to Penny about your sexual problems, and, oh, yes, in a moment filled with biblical resonance, pride wenteth before my fall, causing my Flash 123 to goeth to Wolowitz.",Hey. Whats going on?,Hello.
"Leonard, it astonishes me how you continually fixate on the trivial. I lost a bet to Wolowitz.",Wait a minute. You talked to Penny about our sex life?,"Oh, youd like to catch up on the events of the day. All right. Well, there was a half-hour wait at the bank to get into my safe deposit box, I was forced to talk to Penny about your sexual problems, and, oh, yes, in a moment filled with biblical resonance, pride wenteth before my fall, causing my Flash 123 to goeth to Wolowitz."
Yes.,"Right, right. Youre saying you talked to Penny?","Leonard, it astonishes me how you continually fixate on the trivial. I lost a bet to Wolowitz."
Hardly.,Interesting.,Yes.
Have I crossed some sort of line again?,Excuse me.,Hardly.
"Hmm. Oh, who cares?",Little bit.,Have I crossed some sort of line again?
No.,"Morning, Sheldon. Come dance with me.",Come here.
"Penny, while I subscribe to the many worlds theory which posits the existence of an infinite number of Sheldons in an infinite number of universes, I assure you that in none of them am I dancing.",Why not?,No.
The math would suggest that in a few Im a clown made of candy. But I dont dance.,Are you fun in any of them?,"Penny, while I subscribe to the many worlds theory which posits the existence of an infinite number of Sheldons in an infinite number of universes, I assure you that in none of them am I dancing."
Its Oatmeal Day.,"All right, want some French toast?",The math would suggest that in a few Im a clown made of candy. But I dont dance.
"Dear Lord, are you still going to be here on French Toast Day?","Tell you what, next French Toast Day, I will make you oatmeal.",Its Oatmeal Day.
"Look, Leonard, Penny made French toast.",Morning.,"Dear Lord, are you still going to be here on French Toast Day?"
"Its an iCal download, she can put it right in her phone. And I thought we agreed that youd have your conjugal visits in her apartment.",Sorry. I havent given her your schedule yet.,"Look, Leonard, Penny made French toast."
I see. Did her abysmal housekeeping skills finally trump her perkiness?,"We did, but there were extenuating circumstances.","Its an iCal download, she can put it right in her phone. And I thought we agreed that youd have your conjugal visits in her apartment."
That doesnt seem likely. Her beds of sturdy construction. Even the addition,"No, her bed kind of broke.",I see. Did her abysmal housekeeping skills finally trump her perkiness?
I want oatmeal.,"Sorry. Okay, who wants syrup and who wants cinnamon sugar?",Dont do that.
"Im sure that will happen soon enough. But in the meantime, I still want oatmeal.","Yes, well, I want a boyfriend whose roommate isnt a giant pain in the ass.",I want oatmeal.
"I cant be impossible. I exist. I believe what you meant to say is, I give up, hes improbable.","You know what, I give up. Hes impossible.","Im sure that will happen soon enough. But in the meantime, I still want oatmeal."
"What am I supposed to do, eat French toast on a Monday? Now, that would be impossible.","Sheldon, you really need to find a better way of dealing with Penny.","I cant be impossible. I exist. I believe what you meant to say is, I give up, hes improbable."
You can catch even more flies with manure. Whats your point?,"Im just saying, you can catch more flies with honey than with vinegar.","What am I supposed to do, eat French toast on a Monday? Now, that would be impossible."
"Boy, that does smell good. Too bad its Monday.",Its a,You can catch even more flies with manure. Whats your point?
"Easily calculable, we begin by identifying the set of married couples with unisex names. We then eliminate those unqualified for restaurant work, the aged, the imprisoned and the limbless, for example. Next we look at",I know. What are the odds?,Wow!
"Im sorry. Ooh, Penny, its as if the Cheesecake Factory is run by witches.","Sheldon! its an amazing coincidence, can we leave it at that?","Easily calculable, we begin by identifying the set of married couples with unisex names. We then eliminate those unqualified for restaurant work, the aged, the imprisoned and the limbless, for example. Next we look at"
"Well, thank you. How thoughtful. Would you like a chocolate","Fine, whatever. Are you finished?","Come on, you guys, let it go."
You said be nice to Penny. I believe offering chocolate to someone falls within the definition of nice.,What was that?,"Um, yeah, sure, thanks."
"There are more things in heaven and earth, Horatio, than are dreamt of in your philosophy.","It does. But in my experience, you dont.",You said be nice to Penny. I believe offering chocolate to someone falls within the definition of nice.
"You know, Ive always wanted to go to a goth nighclub.","Theyre called tattoo sleeves. Look. I bought them online, Raj got a set, too. Fantastic, right? Put them on, have hot sex with some freaky girl with her business pierced, take them off, and I can still be buried in a Jewish cemetery.","Howard, what did you do?"
"Bazinga! None of you ever see my practical jokes coming, do you?",Really?,"You know, Ive always wanted to go to a goth nighclub."
Did you? I didnt notice. Have a chocolate.,"Theyre gonna get beaten up at Walgreens. Oh, sorry, Sheldon, I almost sat in your spot.",Theyre gonna get beaten up at that club.
"And its not a cartoon, its anime.",Oshikuru: Demon Samurai.,Whats this cartoon called again?
Youre here a lot now.,"Anime. You know, I knew a girl in high school named Anna May. Anna May Fletcher. She was born with one nostril. Then she had this bad nose job and basically wound up with three.","And its not a cartoon, its anime."
Thank you. Chocolate?,"Oh, am I talking too much? Im sorry. Zip.",Youre here a lot now.
Really?,"Okay, I know what youre doing.",Yes please.  Youll never guess who they got to replace you at work
Very good. Chocolate?,"Yes, youre using chocolates as positive reinforcement for what you consider correct behaviour.",Really?
"Actually, it turns out I can.","No, I dont want any chocolate! Sheldon, you cant train my girlfriend like a lab rat.",Very good. Chocolate?
"Theres just no pleasing you, is there, Leonard? You werent happy with my previous approach to dealing with her, so I decided to employ operant conditioning techniques, building on the work of Thorndike and B.F. Skinner. By this time next week, I believe I can have her jumping out of a pool, balancing a beach ball on her nose.","Well, you shouldnt.","Actually, it turns out I can."
"Im not suggesting we really make her jump out of a pool. I thought the bazinga was implied. Im just tweaking her personality, sanding off the rough edges if you will.","No, this has to stop now.","Theres just no pleasing you, is there, Leonard? You werent happy with my previous approach to dealing with her, so I decided to employ operant conditioning techniques, building on the work of Thorndike and B.F. Skinner. By this time next week, I believe I can have her jumping out of a pool, balancing a beach ball on her nose."
"Are you saying that Im forbidden from applying a harmless, scientifically valid protocol that will make our lives better?","No, youre not sanding Penny.","Im not suggesting we really make her jump out of a pool. I thought the bazinga was implied. Im just tweaking her personality, sanding off the rough edges if you will."
Bad Leonard.,"Yes, youre forbidden.","Are you saying that Im forbidden from applying a harmless, scientifically valid protocol that will make our lives better?"
"Obviously, waitressing at the Cheesecake Factory is a complex socioeconomic activity, that requires a great deal of analysis and planning. Bazinga! You know, using positive reinforcement techniques, I could train that behaviour out of her in a week.",What could she possibly be talking about for so long?,"Oh my God, she didnt!"
"If you let me use negative reinforcement, I can get it done before we go to bed.",No.,"Obviously, waitressing at the Cheesecake Factory is a complex socioeconomic activity, that requires a great deal of analysis and planning. Bazinga! You know, using positive reinforcement techniques, I could train that behaviour out of her in a week."
"No, of course not. Were talking very mild electric shocks. No tissue damage whatsoever.",Youre not squirting her in the face with water.,"If you let me use negative reinforcement, I can get it done before we go to bed."
"Oh, come on, you cant tell me that youre not intrigued about the possibility of building a better girlfriend.",Forget it.,"No, of course not. Were talking very mild electric shocks. No tissue damage whatsoever."
"You mean, like that high-pitched, irritating laugh?","Im not. And Pennys qualities, both good and bad, are what make her who she is.","Oh, come on, you cant tell me that youre not intrigued about the possibility of building a better girlfriend."
"No, that would be incongruous, I was going to lower the whole voice to a more pleasing register.",Youre not changing how Penny laughs.,Yes.
Come again?,"No, that would be incongruous, I was going to lower the whole voice to a more pleasing register.",Youre not changing how Penny laughs.
Freaky?,Freaky.,Come again?
Have a chocolate.,"Yeah, freaky.",Freaky?
"Well, Im going to make some warm milk and then turn in. I trust if you two are planning in engaging in amorous activites, youll keep the decibel level to a minimum.",What are you thinking? Maybe a big musical number?,"When we tell this story, lets end it differently."
Thank you.,Of course.,"Well, Im going to make some warm milk and then turn in. I trust if you two are planning in engaging in amorous activites, youll keep the decibel level to a minimum."
Interesting. Sex works even better than chocolate to modify behaviour. I wonder if anyone else has stumbled on to that.,Lets go.,"Yeah, but if we stay there, we wont have to be quiet."
This movie baffles me every time we watch it.,Could happen.,"Yeah, maybe well get lucky with some sexy cowgirls."
"Well, the instructions are very clear, dont feed the gremlins after midnight, dont get the gremlins wet. How hard is that?",What do you mean?,This movie baffles me every time we watch it.
"Yes. Since their relationship became carnal, Penny has upgraded his designated term of endearment, thus distinguishing him from those she calls sweetie, usually in an attempt to soften a thinly-veiled insult.","Ooh, were honey now, are we?",Hey.
"Although, sometimes, she omits the veil entirely.",Youre boring people sweetie.,"Yes. Since their relationship became carnal, Penny has upgraded his designated term of endearment, thus distinguishing him from those she calls sweetie, usually in an attempt to soften a thinly-veiled insult."
The parade.,Okay. What do you watch on Thanksgiving?,"Were watching Goonies, Gremlins and Young Sherlock Holmes. They were all written by Chris Columbus."
Will you be serving cranberry jelly or cranberry sauce?,Oh. Ill be there.,"Oh, just a big misunderstanding. You know, youd actually like my brother, hes kind of a chemist. Anyway, I was thinking Id have thanksgiving here, and you are all invited."
You guess? You dont seem to have much of a handle on this.,I guess I could serve both.,Will you be serving cranberry jelly or cranberry sauce?
"I believe it means that the U.S. Government is going to expel him from the country. He could then either return to his native India, emigrate to another country thats willing to accept him, or wander the high seas as a stateless pirate. Personally, Id choose pirate.","What do you mean, hes getting deported?","The bad news is, he says hes getting deported."
"Another reason to consider a life of piracy. Even today, I understand thats an all-male profession.","Ugh, fine. But the man really needs to work on his girl issues.","Penny, would you mind stepping outside so we can speak to him?"
And youve continued to take the universitys money under false pretences? Highly unethical for an astrophysicist. Although practically mandatory for a pirate.,"You know, checking e-mail, updating my facebook status, messing up wikipedia entries. Hey, did you know Netflix lets you stream movies on your computer now?","So, wait, what have you been doing for the past six months?"
"Hi, Leonard. Hello, Raj.",Yeah let me start practicing for it. Do you want fries with that Maharaja Mac?,"Dont worry, youll find another job."
"Forgive me, as you know, Im no adept at reading facial cues, but Im going to take a stab here, youre either sad or nauseated.",Hello Sheldon.,"Hi, Leonard. Hello, Raj."
I was going to say sad. I dont know why I hedged.,Im sad.,"Forgive me, as you know, Im no adept at reading facial cues, but Im going to take a stab here, youre either sad or nauseated."
Elbow macaroni with ground hamburger and tomato sauce.,What are you eating?,I was going to say sad. I dont know why I hedged.
"Not technically. In Hinduism, cattle are thought to be like God.",We believe cows are gods.,Ive always been a little confused about this. Why dont Hindus eat beef?
Im sorry.,"Do not tell me about my own culture, Sheldon! In the mood Im in, Ill take you out, I swear to cow!","Not technically. In Hinduism, cattle are thought to be like God."
"Understandable. Your entire life seems to be crumbling around you, and your future appears bleak at best.","Me, too. Im just, Im a little on edge.",Im sorry.
And youre wrong about Hinduism and cows.,Thank you.,"Understandable. Your entire life seems to be crumbling around you, and your future appears bleak at best."
"Thats happy, right?",Im on it.,"Come on, what are you waiting for? Call him and set up an interview."
Nailed it.,Yeah.,"Thats happy, right?"
Gentlemen.,"Tell you what, well skype.",Halfway is 600 miles off the coast of Japan.
"Raj, did you get the job with Professor Laughlin?",Hey.,Gentlemen.
"I assumed as much. But never fear. Like the subordinate male protagonist in countless action movies who disappears half way through the second reel, I have returned to save the day. Odd, usually, hes met by cheers. Anyway, I was thinking about exploring the string theory implications of gamma rays from dark matter annihilations, and it occurred to me that I could benefit",No.,"Raj, did you get the job with Professor Laughlin?"
"Im sorry, if you didnt cheer at my entrance, its too late to buy into the premise. Anyway, I got some extra money from the head of the department, and raj can come work for me.","Excuse me, Sheldon, how many reels before the subordinate male protagonist gets to his point?","I assumed as much. But never fear. Like the subordinate male protagonist in countless action movies who disappears half way through the second reel, I have returned to save the day. Odd, usually, hes met by cheers. Anyway, I was thinking about exploring the string theory implications of gamma rays from dark matter annihilations, and it occurred to me that I could benefit"
For me. Youre going to have to listen more carefully when youre on the job.,You want me to work with you?,"Im sorry, if you didnt cheer at my entrance, its too late to buy into the premise. Anyway, I got some extra money from the head of the department, and raj can come work for me."
For me.,"Okay, uh, please dont take this the wrong way, but Id rather swim buck-naked across the Ganges with a paper cut on my nipple and die a slow, agonizing death from a viral infection than work with you.",For me. Youre going to have to listen more carefully when youre on the job.
Of course Im busy.,"Sheldon, are you busy?",For me.
"Yes, please.  How may I help you?",Shall I wait?,Of course Im busy.
For me.,Ive reconsidered your offer to let me work with you.,"Yes, please.  How may I help you?"
"Im impressed, Raj. Those are very cogent and reasonable conditions.","Yes, for you. I do, however, have a few conditions. First, at all times, I am to be treated as a colleague and an equal. Second, my contributions shall be noted in all published material. And third, you are never allowed to lecture me on Hinduism or my Indian culture.",For me.
I reject them all.,Thank you.,"Im impressed, Raj. Those are very cogent and reasonable conditions."
"Im sorry, I believe youve misunderstood. Im not giving you the job. Im simply affording you the opportunity to apply for it. Have a seat, well get started with the interview.",Then you leave me no choice. I accept the job.,I reject them all.
Please.,Wha Youre kidding!,"Im sorry, I believe youve misunderstood. Im not giving you the job. Im simply affording you the opportunity to apply for it. Have a seat, well get started with the interview."
"So, thats what you wear to an interview?",All right.,Please.
"Oh, pulling strings, are we?","Come on, dude, weve been friends for years.","So, thats what you wear to an interview?"
Bazinga! Youve fallen victim to another one of my classic practical jokes. Im your boss now. You may want to laugh at that.,"Sheldon, for Gods sakes, dont make me beg.","Oh, pulling strings, are we?"
"All right, were going to be designing an experiment to look for the annihilation spectrum resulting from dark matter collisions in space.","Fine, lets watch it. Maybe all our periods will synchronize.","Hey, I happen to love this movie."
Im the boss. I make the jokes.,"Ooh, dark matter. We better bring a flashlight. I was making a joke.","All right, were going to be designing an experiment to look for the annihilation spectrum resulting from dark matter collisions in space."
"This is not the time for joking. Were doing serious research, which requires complete and utter focus.","Sorry, go ahead and make your joke.",Im the boss. I make the jokes.
What?,Sheldon.,"All right, lets buckle down and work."
Top desk drawer.,I need an aspirin.,What?
Alright?,Thank you.,Top desk drawer.
Good.,Yes.,Alright?
Of course I understand. And who are you to tell me about outer space?,"No, no, no, no! That rate is much too low for what wed expect from this collision. Do you understand that were talking about dark matter colliding in outer space?","Oh, you guys had me scared for a minute."
Astro means star.,Im the astrophysicist. Astro means space.,Of course I understand. And who are you to tell me about outer space?
English is your native language.,"Okay, well, let me just tell you, if we were having this argument in my native language, Id be kicking your butt.",Astro means star.
There is a fine line between wrong and visionary. Unfortunately you have to be a visionary to see it.,"Okay, you got me there, but youre wrong about this!",English is your native language.
Caca?,"My god, you think that every thought that comes out of your head is pure gold. Well, let me tell you something. Some of those thoughts are pure caca.",There is a fine line between wrong and visionary. Unfortunately you have to be a visionary to see it.
"All right! First of all, Dr. Koothrappali, when I first proposed that you work with me",It means doo-doo.,Caca?
"In this context, with me means for me.",Aha! So I am working with you.,"All right! First of all, Dr. Koothrappali, when I first proposed that you work with me"
"Oh! If Im wrong, prove it.","Ah, well, in this context","In this context, with me means for me."
"No, no, no, youve misstated the atomic weight of the target.",Okay. Heres where we derive the mass of the dark matter particle.,"Oh! If Im wrong, prove it."
Youre defacing my work.,Let me finish.,"No, no, no, youve misstated the atomic weight of the target."
Give me the eraser.,"Im not defacing it, Im fixing it.",Youre defacing my work.
I said give it to me.,No.,Give me the eraser.
"Fine.  Oh, lord. Dr. Koothrappali, as your superior, I forbid you from writing on my board!",Come and get it.,I said give it to me.
I am in every way.,You are not my superior.,"Fine.  Oh, lord. Dr. Koothrappali, as your superior, I forbid you from writing on my board!"
Raj.,"Oh, yeah? Can you do this?",I am in every way.
"Doing what?  All right, youve made your point.",Im busy.,Raj.
I looked over the board and it turns out you were right.,"What do you want, Sheldon?","Doing what?  All right, youve made your point."
I didnt say that.,So you were wrong.,I looked over the board and it turns out you were right.
"Nevertheless, I didnt say it. Anyway, I would like you to come back and work for me.",Thats the only logical inference.,I didnt say that.
In this context for me could mean with me.,For you or with you?,"Nevertheless, I didnt say it. Anyway, I would like you to come back and work for me."
I reject them all.,"All right, but I have some conditions.",In this context for me could mean with me.
"Wait, you have to drive me home.",Ill take the job. See you Monday.,I reject them all.
I walked.,How did you get here?,"Wait, you have to drive me home."
"I cant. Theres a big dog outside. On the way home, we can start thinking about methods of optimizing the detector for 500 GEV particles.",So walk home.,I walked.
It doesnt matter. You cant possibly win.,Which one?,Just play a potion card.
"Given the cards that have already been played, Penny can only be holding necromancer potions, which are only effective against wraiths and day-walkers, and there are no more of either left to be drawn. The cards remaining in the undrawn stack are four fire weapons, a troll, two ogres and the jewel of Osiris.",How could he ruin the game?,"Sheldon, dont ruin the game."
"From your vantage point, it certainly must seem so.","Sheldon, that is incredible.",See? Ruined.
"Photographic is a misnomer. I have an eidetic memory, as Ive told you many times. Most recently last year during lunch on the afternoon of may seventh. You had turkey and complained it was dry.",Sheldon has kind of a photographic memory.,"From your vantage point, it certainly must seem so."
"June 30th, 2004. Opening day of Spider-man 2 at the AMC Pasadena. They only had red icees, no blue.","Yeah, I dont remember that.","You and I made a pact that if either of us ever got a hot girlfriend, that person would have his girlfriend hook the other guy up with one of her girlfriends."
You had left the refreshment stand in order to indulge in your customary preemptive pre-show urination.,"Hey, how come I wasnt part of this deal?","Because when I made that agreement, I didnt think Id ever have a hot girlfriend. And I was positive you never would."
"Im sorry, no.","Oh, damn it. Can I have a napkin?",Damn.
"Yes, Ive moved to a four-napkin system. Lap, hands, face and personal emergencies. If you like, starting tomorrow, Ill add a guest napkin, but Im afraid theres nothing I can do for you today.  Good luck. Thats the face napkin.",But you have a whole bunch of em.,"Im sorry, no."
"Id imagine you heard any number of things today. When you arrived at work you undoubtedly heard, hello, Raj, how are you, Raj? Given that youre wearing a new sweater-vest, you may have heard new sweater-vest? And possibly, though far less likely, nice sweater-vest.","Hey, Sheldon, guess what I heard today?",Ill see what I can do.
That would probably save us some time.,Why dont I just tell you what I heard today.,"Id imagine you heard any number of things today. When you arrived at work you undoubtedly heard, hello, Raj, how are you, Raj? Given that youre wearing a new sweater-vest, you may have heard new sweater-vest? And possibly, though far less likely, nice sweater-vest."
"Im sorry, Raj, but I have no interest in playing a game in which I find no challenge.","Saturday night at the comic book store, theyre having a Mystic Warlords of Ka-ah tournament. First prize is five hundred dollars. If we team up, wed be unstoppable.",That would probably save us some time.
I have money.,What about the money?,"Im sorry, Raj, but I have no interest in playing a game in which I find no challenge."
How does it different from the money I have?,But this is other money.,I have money.
Do you need it to buy a less disturbing sweater-vest?,Half of it will be mine.,How does it different from the money I have?
Got it. Got it. Got it. Got it. Got it. Got it. Betty and Veronica? Ugh.,"Oh, great thing about Ernie, was he never asked me for anything. He just gave.",Will you at least think about it? Just as a favour to me?
Thank you. You just robbed me of the opportunity to stumble upon the figurine and make the oh-so-satisfying journey from discovery to desire to possession.,"Hey, Sheldon, the new Green Lantern figurines coming in tomorrow. Want me to set one aside for you?",Got it. Got it. Got it. Got it. Got it. Got it. Betty and Veronica? Ugh.
But I must have it.,"All right, I wont set one aside for you.",Thank you. You just robbed me of the opportunity to stumble upon the figurine and make the oh-so-satisfying journey from discovery to desire to possession.
"Thank you. You know, I can buy all these things online. I come here for the personal service.","Okay, Ill set one aside for you.",But I must have it.
Excuse me. Are you saying that Wil Wheaton aka Ensign Wesley Crusher on Star Trek:,"Yeah, he lives around here. Big gamer.","Hey, Stuart, is the Wil Wheaton signed up for the mystic warlords tournament THE Wil Wheaton from Star Trek?"
"You dont understand. Growing up, I idolized Wil Wheaton? Wesley Crusher had an eidetic memory just like me.","Oh, Im sorry, did I rob you of the opportunity to stumble onto that for yourself?",Excuse me. Are you saying that Wil Wheaton aka Ensign Wesley Crusher on Star Trek:
"I was such a fan that in 1995, I travelled ten hours by bus to a sci-fi convention in Jackson, Mississippi, wearing my Star Fleet Academy cadet uniform in order to meet Wil Wheaton and get him to autograph my mint in-package Wesley Crusher action figure.","Oh, what a coincidence. Maybe you can discuss that with him while youre playing in the tournament. Sign here.","You dont understand. Growing up, I idolized Wil Wheaton? Wesley Crusher had an eidetic memory just like me."
"My arduous journey, however, was for naught. Although advertised to appear, he did not show up. It was at that moment, I vowed eternal hatred for Wil Wheaton.","Ooh, itll be like a reunion then. Sign here.","I was such a fan that in 1995, I travelled ten hours by bus to a sci-fi convention in Jackson, Mississippi, wearing my Star Fleet Academy cadet uniform in order to meet Wil Wheaton and get him to autograph my mint in-package Wesley Crusher action figure."
"It might also interest you to know that Wil Wheaton currently ranks sixth on my all-time enemies list, right between director Joel Schumacher, who nearly destroyed the Batman movie franchise, and Billy Sparks, who lived down the street from me and put dog poop on the handles of my bicycle.","Okay, great, you can tell him you hate him. Sign here.","My arduous journey, however, was for naught. Although advertised to appear, he did not show up. It was at that moment, I vowed eternal hatred for Wil Wheaton."
"In the words of Khan Noonien Singh in the immortal wrath of Khan, he tasks me, he tasks me and I shall have him.","Okay, I get it, hes a bad guy. Sign here.","It might also interest you to know that Wil Wheaton currently ranks sixth on my all-time enemies list, right between director Joel Schumacher, who nearly destroyed the Batman movie franchise, and Billy Sparks, who lived down the street from me and put dog poop on the handles of my bicycle."
"From hells heart, I stab at thee.","No doubt, sign here.","In the words of Khan Noonien Singh in the immortal wrath of Khan, he tasks me, he tasks me and I shall have him."
My enchanted troll bludgeons your screaming harpy with a cursed mace. Game.,"Sheldon, its your play. Sheldon.",Another delightful surprise for her.
"Look at him. Wil Wheaton, my old friend, I have chased you round the moons of Nibia and round the Antares maelstrom and round perditions flames!","Sorry, boys. Say hi to your mother when she picks you up. Or I could just tell her later tonight! We pwned them, dude! Up top!",My enchanted troll bludgeons your screaming harpy with a cursed mace. Game.
Silence! How much longer must I wait for my revenge?,"You know you keep quoting Wrath of Khan, but he was in next generation. Its a totally different set of characters.","Look at him. Wil Wheaton, my old friend, I have chased you round the moons of Nibia and round the Antares maelstrom and round perditions flames!"
"So, my path to satisfaction is blocked by lonely Larry and Captain Sweatpants. Very well. They must be destroyed.","Well, if Wil Wheaton and Stuart win their match and we beat lonely Larry and Captain Sweatpants in the next round, well face off for the championship.",Silence! How much longer must I wait for my revenge?
Silence!,"Dude, you have to stop talking like that. Its really lame.","So, my path to satisfaction is blocked by lonely Larry and Captain Sweatpants. Very well. They must be destroyed."
"I play my endless serpent. Raj will play ecstatic frenzy, which means Larry will have to play chaos overlord, then Captain Sweatpants, molten river. I play nightshade dryad, game, set and match. Now fetch me Wil Wheaton! bortaS bIr jabluDI reH QaQqu nay","Long, long night.",Okay.
Underworld guardian. We skirmish to the death.,Underworld guardian.,Nest of snakes.
Luminescence spell.,Invisibility spell.,Underworld guardian. We skirmish to the death.
Fire demon.,Water nymph.,Luminescence spell.
Three-headed lion.,Two-headed tiger.,Fire demon.
Brimstone.,Sulphur.,Three-headed lion.
"Youre holding two moderate spell cards, a small rock and a potion of Zancor, which will be about as much help as an air conditioner on the ice planet Hoth. Your only move is to play the potion, lose the skirmish, and two moves later, the game.",Hang on.,"Problem, Wil Wheaton?"
"The year was 1995, the place, Jackson, Mississippi. Having spent ten hours on a bus, during which I had to twice violate my personal rule against relieving myself on board a moving vehicle, I finally arrived at the fourth annual Dixie-Trek convention only to find that my idol Wil Wheaton decided he had better things to do than to show up and sign my action figure.",I think hes got me.,"Youre holding two moderate spell cards, a small rock and a potion of Zancor, which will be about as much help as an air conditioner on the ice planet Hoth. Your only move is to play the potion, lose the skirmish, and two moves later, the game."
"You betrayed me, Wil Wheaton. Now I have my revenge.",What?,"The year was 1995, the place, Jackson, Mississippi. Having spent ten hours on a bus, during which I had to twice violate my personal rule against relieving myself on board a moving vehicle, I finally arrived at the fourth annual Dixie-Trek convention only to find that my idol Wil Wheaton decided he had better things to do than to show up and sign my action figure."
Your mee-maw died? Thats terrible.,"You went to the 95 Dixie-Trek? Oh, dude, my grandmother had just died, and I had to go to her funeral.","You betrayed me, Wil Wheaton. Now I have my revenge."
"No, no, I understand. Anything happened to my mee-maw, Id be one inconsolable moon pie. I should clarify that statement by explaining that she calls me moon pie.","Yeah, it was. But Im really sorry that I disappointed you.",Your mee-maw died? Thats terrible.
"Oh, yes.","Its special relationship, isnt it, between a boy and his grandmother?","No, no, I understand. Anything happened to my mee-maw, Id be one inconsolable moon pie. I should clarify that statement by explaining that she calls me moon pie."
I cant.,"What are you waiting for? Kill Wil Wheaton! From hells heart, stab at him!","Its okay, Sheldon. I let you down. I deserve it. Potion of Zancor."
"No. I came here to defeat Wil Wheaton, the man who destroyed my dreams. But I cant defeat Wil Wheaton, the man who loved his mee-maw. Enchanted bunny.",Sure you can. Do it! Do it!,I cant.
I I I dont understand. Your grandmothers alive?,"I call my mee-maw nana. And shes going be very happy to hear that my small rock kills your enchanted bunny. Game over, moon pie.",No! Not enchanted bunny!
"Excuse me. Youre misusing the word ho. Its an interjection used to call attention to a destination, not an object, as in, uh, Land, ho! Or, uh, Westward, ho!","Kites, ho!",Kites ho!
"Well, actually, the risk of throat cutting is very low. On the other hand, severe string burn is a real and ever-Present danger.","Oh, yeah. Its an extremely competitive, cutthroat sport.",Kite fighting?
"Im sorry, I got bored and drifted off. Where exactly in the interaction did the sucking lie?","Well, this sucks.",See ya.
"Oh, that certainly would suck.","Leonard just realized that Pennys been hiding him from her friends because hes a tiny, little man who flies kites.","Im sorry, I got bored and drifted off. Where exactly in the interaction did the sucking lie?"
"Wolowitz is trying to outflank us. Let out some string, add altitude and Ill go under and cut his line.","Oh, that certainly would suck.","Leonard just realized that Pennys been hiding him from her friends because hes a tiny, little man who flies kites."
"Focus, Leonard, focus! The heat of battle is upon us, the dogs of war are unleashed.",Why wouldnt Penny want her friends to meet me?,"Wolowitz is trying to outflank us. Let out some string, add altitude and Ill go under and cut his line."
"Youre embarrassing me right now, a grown man worrying about such nonsense when in the middle of flying kites.","Maybe Koothrappalis right, maybe I embarrass her.","Focus, Leonard, focus! The heat of battle is upon us, the dogs of war are unleashed."
Sorry wont bring their kites down. Ow! String burn! String burn!,Sorry.,"Youre embarrassing me right now, a grown man worrying about such nonsense when in the middle of flying kites."
Victory!,"Wait, what are you doing? I cant scissors by myself! Howard! Come back!",Hold my line.
"Well, her actions could be out of concern for your feelings. Perhaps shes excluded you from these gatherings because shes scouting for a new mate and doesnt want to do it in front of you.","So, Penny doesnt want me around her friends, I embarrass her. What else could it be?","Oh, please, you weigh 80 pounds. You dont have a hammy."
Agreed. Most primates dont show that sort of discretion. A female bonobo will copulate with a new male in front of the old one without so much as a how do you do?,"Oh, how kind of her.","Well, her actions could be out of concern for your feelings. Perhaps shes excluded you from these gatherings because shes scouting for a new mate and doesnt want to do it in front of you."
"Im sorry, Raj, but the rules of aerial warfare dictate at the fallen kite go to the victor. And without rules, the competition has no meaning. And without meaning, the following would be an empty gesture.  I have your kite. I have your kite.","With a woman you were chasing through a park? Thats not a shot, thats a felony. Whats worse, it cost me my prized Patang fighting kite. Sheldon, I dont suppose theres any chance you could give me my kite back?",I totally had a shot.
Its football nomenclature for when a quarterback is tackled behind the line of scrimmage.,"Sacks, sacks","All I know about Saks is, my mother shops there."
The line of scrimmage is the imaginary transverse line separating the offence from the defence.,Huh Scrimmage,Its football nomenclature for when a quarterback is tackled behind the line of scrimmage.
