response,context,context/0
Your family?,"Dobby almost spoke ill of his family, sir.","Dobby had to punish himself, sir."
What terrible things?,"There is a plot, a plot to make most terrible things happen.",Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year!
Whos plotting them?,What terrible things?,"There is a plot, a plot to make most terrible things happen."
Ok I- understand. You cant- say.,Ooo... er... cant... say... argh...,Whos plotting them?
"Dobby! Dobby, put the lamp down.","Dont make me talk, I Errr...",Ok I- understand. You cant- say.
Give me the lamp! Dobby stop!,Bad Dobby.,"Dobby! Dobby, put the lamp down."
"Get in there, and keep quiet!",Let me go!,Give me the lamp! Dobby stop!
I- I was just,What the devil are you doing up here?,"Get in there, and keep quiet!"
Sorry.,You just ruined the punch line of my Japanese golfer joke!,I- I was just
"Yes, sir... See why Ive got to go back?",And fix that door!,"One more sound, and youll wish youd never been born, boy!"
I dont belong here.,"Yes, sir... See why Ive got to go back?",And fix that door!
"I belong in your world, at Hogwarts.",I dont belong here.,"Yes, sir... See why Ive got to go back?"
Its the only place Ive got friends!,"I belong in your world, at Hogwarts.",I dont belong here.
"Well, I expect theyve... been- hang on-",Friends who dont even write to Harry Potter?,Its the only place Ive got friends!
how do you know my friends havent been writing to me?,"Well, I expect theyve... been- hang on-",Friends who dont even write to Harry Potter?
"Give me those, now!","Heh- Dobby hoped, if Harry Potter thought his friends had forgotten him, Harry Potter might not want to go back to school, sir.",Harry Potter mustnt be angry with Dobby.
"Dobby, get back here!",No! Ahh! Ooh...,"Give me those, now!"
"Dobby, please, no!","Dobby, get back here!",No! Ahh! Ooh...
I cant. Hogwarts is my home!,Harry Potter must say hes not going back to school!,"Dobby, please, no!"
Ron! Fred. George.,"Hi, Harry!",Youre never going to see those freaky friends of yours again. Never!
What are you alldoinghere?,Ron! Fred. George.,"Hi, Harry!"
Ahh- ahh!,"Petunia, hes escaping!","Come on, Harry!Hurryup!"
Let go of me!,Come here!,Ive got you Harry!
Get off!,"Oh no, boy! You and thatbloodypigeonarentgoinganywhere!",Let go of me!
Ithinkits brilliant,"Its not much, but its home.","Yeah, Mumwouldneverknow."
Hello. W-what did I do?,Yes dear. It was on the cat.,"Mum- Mummy, have you seen my jumper?"
Raids?,What a night. Nine raids. Nine!,MorningArthur!
"Oh,sorrysir. Im Harry, sir,HarryPotter.",Well now. Aah! And who are you?,"DadlovesMuggles,thinkstheyre fascinating."
"Oh, it...",Did you really? Howd it go? Did you,This morning. Your sons flew thatenchantedcar ofyoursto Surrey and back last night.
"Oh, umm...","Tell me, whatexactlyis thefunctionof arubberduck?","Now, Harry, you must know allaboutMuggles."
Floo powder?,"But Harry's never traveled by Floo powder before, Mum.","You go first, dear."
Diagonally.,"Now, don't forget to speak very, very clearly.","That's it, very good."
"I'm fine, thank you. I was just going...","Not lost, are you, my dear?","Come, Draco."
No. Please...,We'll help you find your way back.,Come with us.
Hagrid!,Harry?,No. Please...
"I was lost, I...",People will think you're up to no good.,Don't want no one to see you there.
Hang on.,"I was lost, I...",People will think you're up to no good.
What were you doing down there then?,Hang on.,"I was lost, I..."
It's great to see you too.,It's so good to see you.,"Hello, Hermione."
I definitely need to remember that one.,Oculus Reparo.,What did you do to your glasses?
Thank you. Bye.,"Okay, bye.",Right. I'll leave you to it.
Voldemort killed my parents.,"As, of course, is the wizard who gave it to you.",Your scar is legend.
He was nothing more than a murderer.,Voldemort killed my parents.,"As, of course, is the wizard who gave it to you."
Let's go.,"Come on, Ginny, we'll get you a seat. Hurry.","After you, dear."
Sorry.,What do you two think you're doing?,Let's go.
Lost control of the trolley.,Sorry.,What do you two think you're doing?
Why can't we get through?,Lost control of the trolley.,Sorry.
The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.,I don't know.
We've missed it.,The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.
Maybe we should just go and wait by the car.,"Harry, if we can't get through maybe Mum and Dad can't get back.",We've missed it.
"Ron, I should tell you most Muggles aren't accustomed to seeing a flying car.",The car.,Maybe we should just go and wait by the car.
"Come on, then. Let's go lower.","Oh, no! The Invisibility Booster must be faulty.","Aaa, Right."
We need to find the train.,"Come on, then. Let's go lower.","Oh, no! The Invisibility Booster must be faulty."
All we need to do is catch up with the train.,Okay.,We need to find the train.
Do you hear that?,We can't be far behind.,All we need to do is catch up with the train.
Hold on.,We must be getting close.,Do you hear that?
Aaaaaaahhhh!,Hold on.,We must be getting close.
I'm trying. Your hand's all sweaty.,Hold on!,Take my hand!
I think we found the train.,I'm trying. Your hand's all sweaty.,Hold on!
Up! Up!,Welcome home.,Yeah.
"Up! Ron, mind that tree!",It's not working!,Up! Up!
Aaahhh! Aaah!,"Up! Ron, mind that tree!",It's not working!
Be thankful it's not your neck.,My wand. Look at my wand.,Stop! Stop! Stop!
I don't know.,What's happening?,Be thankful it's not your neck.
"Come on, go! Fast!",I don't know.,What's happening?
"See you, Hedwig.",Dad's gonna kill me.,The caaaar!
So a house-elf shows up in my bedroom we can't get through the barrier to platform 93 4...,"See you, Hedwig.",Dad's gonna kill me.
we almost get killed by a tree...,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93 4...,"See you, Hedwig."
Clearly someone doesn't want me here this year.,we almost get killed by a tree...,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93 4...
Professor Dumbledore.,They are not.,As it is...
Professor McGonagall.,Professor Dumbledore.,They are not.
You're doomed.,Say it. I'm doomed.,"Hello, Percy, Miss Clearwater."
"Hi, Colin. Nice to meet you.",I'm Colin Creevey. I'm in Gryffindor too.,"Hi, Harry."
Stop. Hold still!,Get off me!,"Please, get me down!"
Malfoy?,You've got a new Seeker. Who?,"I, Professor Severus Snape, do hereby give the Slytherin team permission to practice today, owing to the need to train their new Seeker."
"No, Colin, get out of the way.","Wow! Can you turn him around, Harry?",Say something.
Let's take him to Hagrid's.,"No, Colin, get out of the way.","Wow! Can you turn him around, Harry?"
He'll know what to do.,Let's take him to Hagrid's.,"No, Colin, get out of the way."
Malfoy. He called Hermione...,"Who was Ron trying to curse, anyway?",Better out than in.
"Well, I don't know exactly what it means.",Malfoy. He called Hermione...,"Who was Ron trying to curse, anyway?"
What's a Mudblood?,He did not.,He called me a Mudblood.
That's horrible.,"See, the thing is, Harry, there are some wizards, like the Malfoy family...who think they're better than everyone else because they're pure-blood.",It's not a term one usually hears in civilized conversation.
Not really.,Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?,"Harry, Harry, Harry."
What?,Come to me.,Come.
That voice.,Sorry?,What?
Didn't you hear it?,Voice?,That voice.
Spooky.,Spooky how the time flies when one is having fun.,We've been here nearly four hours.
Did you hear it?,Harry!,Kill!
That voice.,Hear what?,Did you hear it?
I heard it first in Lockhart's office.,Voice? What voice?,That voice.
And then again just...,I heard it first in Lockhart's office.,Voice? What voice?
It's moving.,It's time.,And then again just...
I think it's going to kill.,It's moving.,It's time.
Strange.,"Harry, wait! Not so fast!",Kill?
I've never seen spiders act like that.,Strange.,"Harry, wait! Not so fast!"
"Oh, no.",It's written in blood.,"Enemies of the Heir, beware."
It's Filch's cat.,"Oh, no.",It's written in blood.
It's Mrs. Norris.,It's Filch's cat.,"Oh, no."
No. No.,You've murdered my cat.,Mrs. Norris?
"It's not true, sir. I swear.",You saw what he wrote on the wall.,It's him that's done it.
I never touched Mrs. Norris.,"It's not true, sir. I swear.",You saw what he wrote on the wall.
When I said I wasn't hungry.,"Yes, Miss Granger?",We'd just found him when he said...
We were heading back to the common room when we found Mrs. Norris.,When I said I wasn't hungry.,"Yes, Miss Granger?"
Strange?,"It's a bit strange, isn't it?",And in the meantime I strongly recommend caution to all.
Do you think I should have told them?,and then Mrs. Norris turns up Petrified. It's just strange.,"You hear this voice, a voice only you can hear..."
"Dumbledore and the others, I mean?",Do you think I should have told them?,and then Mrs. Norris turns up Petrified. It's just strange.
"If there really is a Chamber of Secrets, and it has been opened, that means...",All the teachers are.,McGonagall's worried.
"Maybe Ron's right, Hermione.","But Malfoy, the Heir of Slytherin?",I heard him.
"I mean, look at his family.","Maybe Ron's right, Hermione.","But Malfoy, the Heir of Slytherin?"
The whole lot of them have been in Slytherin for centuries.,"I mean, look at his family.","Maybe Ron's right, Hermione."
How long will it take to make?,I've never seen a more complicated potion.,But it's tricky.
A month?,A month.,How long will it take to make?
"But, Hermione,",A month?,A month.
if Malfoy is the Heir of Slytherin he could attack half the Muggle-borns in the school by then.,"But, Hermione,",A month?
"Wood, look out!","Watch yourself, Harry!","All right there, Scarhead?"
Thank you.,Finite Incantatem!,Gryffindor wins!
No. I think my arm is broken.,Are you okay?,Thank you.
"No, Not you.",I will fix that arm of yours straight away.,"Not to worry, Harry."
Dobby?,Hello.,Time to kill..
It was you.,Harry Potter should have gone back home when he missed the train.,Harry Potter should have listened to Dobby.
You stopped the barrier from letting Ron and me through.,It was you.,Harry Potter should have gone back home when he missed the train.
You nearly got Ron and me expelled.,"Indeed. Yes, sir.",You stopped the barrier from letting Ron and me through.
Your Bludger? You made that Bludger chase after me?,Dobby thought his Bludger would be enough to make Harry Potter see...,Harry Potter must go home.
"You better clear off before my bones come back Dobby, or I might strangle you.",Dobby had to iron his hands.,"Dobby feels most aggrieved, sir."
I don't suppose you could tell me why you're trying to kill me?,Dobby gets them five times a day at home.,"Dobby is used to death threats, sir."
"Why do you wear that thing, Dobby?","Of course, Dobby is still treated like vermin.","We house-elves were treated like vermin, sir."
Repeat itself? You mean this has happened before?,Harry Potter must not stay here...now that history is to repeat itself.,Terrible things are about to happen at Hogwarts.
Stop it!,Bad Dobby! Bad!,Oahh! I shouldn't have said that.
"Stop it, Dobby!",Stop it!,Bad Dobby! Bad!
Tell me Dobby when did this happen before?,"Stop it, Dobby!",Stop it!
Who's doing it now?,Tell me Dobby when did this happen before?,"Stop it, Dobby!"
"No, Dobby. Tell me.",Dobby only wants Harry Potter to be safe.,"Dobby cannot say, sir."
Who is it?,"No, Dobby. Tell me.",Dobby only wants Harry Potter to be safe.
"Thank you, sir.","Good luck, Potter.","Malfoy, perhaps?"
You wish.,"Scared, Potter?",Wands at the ready.
Rictusempra!,Everte Statum!,One. Two...
I'm a what?,Why didn't you tell us?,You're a Parselmouth?
I know. I accidentally set a python on my cousin Dudley at the zoo once.,You can talk to snakes.,I'm a what?
Once. But so what?,I know. I accidentally set a python on my cousin Dudley at the zoo once.,You can talk to snakes.
I bet loads of people here can do it.,Once. But so what?,I know. I accidentally set a python on my cousin Dudley at the zoo once.
What's bad? If I hadn't told that snake not to attack Justin...,This is bad.,"It's not a very common gift, Harry."
You were there. You heard me.,That's what you said to it.,What's bad? If I hadn't told that snake not to attack Justin...
I spoke a different language?,Snake language.,I heard you speaking Parseltongue.
But I didn't realize...,I spoke a different language?,Snake language.
How can I speak a language without knowing I can?,But I didn't realize...,I spoke a different language?
But I'm not.,Now the whole school's gonna think you're his great-great-great grandson.,Exactly.
I can't be.,But I'm not.,Now the whole school's gonna think you're his great-great-great grandson.
I'll see you back in the common room.,"For all we know, you could be.",He lived a thousand years ago.
No. Mr. Filch! You don't understand...,Mark my words.,"I'll have you out this time, Potter."
Professor I swear I didn't.,No. Mr. Filch! You don't understand...,Mark my words.
Professor Dumbledore?,Sherbet Lemon.,Professor Dumbledore will be waiting for you.
I...I..I was just wondering if you put me in the right house.,"Bee in your bonnet, Potter?",Professor Dumbledore?
You're wrong.,You would have done well in Slytherin.,But I stand by what I said last year.
Professor.,Harry?,You're wrong.
Your bird...There was nothing I could do.,Professor.,Harry?
He just caught fire.,Your bird...There was nothing I could do.,Professor.
"You don't think it was me, professor?",Yes.,"I'll just wait outside, then."
"No, sir. Nothing",But I must ask you is there something you wish to tell me?,"No, Harry. I do not think it was you."
Crabbe and Goyle.,We just need a bit of who you're changing into.,Everything's set.
"Ron, maybe I should do it.",Make sure that Crabbe and Goyle find these.,I'm going to go check on the Polyjuice Potion.
Wingardium Leviosa.,Yeah. Right.,"Ron, maybe I should do it."
"Come on, let's get them.",How thick could you get?,Cool. Umm..um.
Ron.,Harry?,Me too.
We still sound like ourselves.,Bloody hell!,Ron.
You need to sound more like Crabbe.,We still sound like ourselves.,Bloody hell!
Excellent.,Bloody hell.,You need to sound more like Crabbe.
"Hermione, are you okay?",You go on without me.,I...I don't think I'm going.
Come on.,Just go. You're wasting time.,"Hermione, are you okay?"
I think the Slytherin common room's this way.,Come on.,Just go. You're wasting time.
I'm...,What are your names again?,"You, on the other hand, have no business wandering the corridors at night."
Ah- um.. Reading.,Why are you wearing glasses?,Pigging out in the Great Hall all this time?
You're wrong!,Father always said Dumbledore was the worst thing that ever happened to this place.,I suppose Dumbledore is trying to hush it all up.
Harry Potter?,Well? Do you?,You think there's someone here who's worse than Dumbledore?
But then you must have some idea who's behind it all.,And people actually think that he's the Heir of Slytherin?,Saint Potter.
It's his stomachache.,You're acting very odd.,What's the matter with you two?
Calm down.,It's his stomachache.,You're acting very odd.
Hair!,Scar!,Calm down.
"Hermione, come out.",That was close.,Hey! Where are you going?
We've got loads to tell you.,"Hermione, come out.",That was close.
Hermione?,Wait till you see. It's awful.,Go away.
Are you okay?,Hermione?,Wait till you see. It's awful.
She should be out of hospital in a few days when she stops coughing up fur balls.,Have you spoken to Hermione?,Look at your tail.
What's this?,She should be out of hospital in a few days when she stops coughing up fur balls.,Have you spoken to Hermione?
Looks like Moaning Myrtle's flooded the bathroom.,Yuck!,What's this?
Why would I throw something at you?,Ohh-Uhh..Come to throw something else at me?,Looks like Moaning Myrtle's flooded the bathroom.
"But who threw it at you, anyway?",Fifty points if it goes through her head!,Ten points if you get it through her stomach!
Tom Marvolo Riddle.,Whoo-oooh-whoooo...,"I was just sitting in the U-bend, thinking about death and it fell through the top of my head."
My name is Harry Potter.,Tom Marvolo Riddle.,Whoo-oooh-whoooo...
Do you know anything about the Chamber of Secrets?,"Hello Harry Potter, my name is Tom Riddle.",My name is Harry Potter.
Can you tell me?,Yes.,Do you know anything about the Chamber of Secrets?
Excuse me.,13th June..,Let me take you back fifty years ago.
Could you tell me what's going on here?,Excuse me.,13th June..
Are you Tom Riddle?,Could you tell me what's going on here?,Excuse me.
"Hello, can you hear me?",Are you Tom Riddle?,Could you tell me what's going on here?
Dumbledore?,Professor Dumbledore.,Riddle! Come.
Hagrid!,You'll be expelled.,"They'll have your wand for this, Hagrid."
HAAGRIIID!,Hagrid!,You'll be expelled.
Wow!,HAAGRIIID!,Hagrid!
It was Hagrid.,Wow!,HAAGRIIID!
Hagrid opened the Chamber of Secrets 50 years ago.,It was Hagrid.,Wow!
"The monster had killed somebody, Ron.","He sounds like a dirty, rotten snitch.",We don't even know this Tom Riddle.
What would any of us have done?,"The monster had killed somebody, Ron.","He sounds like a dirty, rotten snitch."
No.,"Mad and hairy? You wouldn't be talking about me, now, would you?","Hello, Hagrid. Tell us, have you been setting anything mad and hairy loose in the castle lately?"
"What's that you've got, Hagrid?",No.,"Mad and hairy? You wouldn't be talking about me, now, would you?"
And they found it.,"Whoever it was, they must have been looking for something.",Unless it wasn't a student.
Tom Riddle's diary is gone.,And they found it.,"Whoever it was, they must have been looking for something."
No.,Does it mean anything to either of you?,She was found near the library along with this.
"We've got to talk to Hagrid, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:
I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hagrid, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.
I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.,But you heard McGonagall.
What's that for?,Hello? Hello?,Who's there?
"Hagrid, are you okay?",I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.
Did you hear about Hermione?,I'm fine. I'm all right.,"Hagrid, are you okay?"
"Look, we have to ask you something.","Oh yeah. I heard about that, all right.",Did you hear about Hermione?
Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something.","Oh yeah. I heard about that, all right."
Look.,"With Dumbledore gone, there'll be an attack a day.",Hagrid's right.
Come on.,Look.,"With Dumbledore gone, there'll be an attack a day."
"Come on, Fang.",Come on.,Look.
Come on.,"Come on, Fang.",Come on.
You heard what Hagrid said.,What?,Come on.
Follow the spiders.,You heard what Hagrid said.,What?
Shush!,"Harry, I don't like this at all.","Harry, I don't like this."
Come on.,Can we go back now?,Shush!
Don't panic.,Who is it?,Come on.
We're friends of Hagrid's.,Is that you?,Hagrid?
And you?,We're friends of Hagrid's.,Is that you?
"You're Aragog, aren't you?",And you?,We're friends of Hagrid's.
"He's in trouble. Up at the school, there have been attacks.",Hagrid has never sent men into our hollow before.,Yes.
They think it's Hagrid.,"He's in trouble. Up at the school, there have been attacks.",Hagrid has never sent men into our hollow before.
They think he opened the Chamber of Secrets. Like before.,They think it's Hagrid.,"He's in trouble. Up at the school, there have been attacks."
Then you're not the monster?,Hagrid never opened the Chamber of Secrets.,That's a lie.
"But if you're not the monster, then what did kill that girl 50 years ago?",Harry.,I came to Hagrid from a distant land in the pocket of a traveler.
But have you seen it?,It is an ancient creature we spiders fear above all others.,We do not speak of it.
What?,Harry!,"When I was accused, Hagrid brought me here."
"Well, thank you.",What?,Harry!
We'll just go.,"Well, thank you.",What?
"One, but it's not powerful enough for all of them.",Know any spells?,Can we panic now?
Let's go!,Where's Hermione when you need her?,"One, but it's not powerful enough for all of them."
Arania Exumai!,Let's go!,Where's Hermione when you need her?
Go!,Arania Exumai!,Let's go!
Arania Exumai!,Glad we're out of there.,Go!
Don't mention it.,Thanks for that.,Arania Exumai!
Get us out of here.,Don't mention it.,Thanks for that.
Now!,Get us out of here.,Don't mention it.
Come on!,Now!,Get us out of here.
"Come on, move faster!",Come on!,Now!
Come on! Go!,"Come on, move faster!",Come on!
Get us in the air.,Come on! Go!,"Come on, move faster!"
Come on! Pull!,The flying gear's jammed!,Get us in the air.
We know one thing.,What have we found out?,"I mean, what was the point of sending us in there?"
Hagrid never opened the Chamber of Secrets.,We know one thing.,What have we found out?
He was innocent.,Hagrid never opened the Chamber of Secrets.,We know one thing.
"Wish you were here, Hermione.",He was innocent.,Hagrid never opened the Chamber of Secrets.
We need you.,"Wish you were here, Hermione.",He was innocent.
Now more than ever.,We need you.,"Wish you were here, Hermione."
Ron...,What's that?,Now more than ever.
This is why Hermione was in the library the day she was attacked.,Ron...,What's that?
Come on.,This is why Hermione was in the library the day she was attacked.,Ron...
Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.
Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.
Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.
"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.
The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.
That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it."
It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.
Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.
"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?"
Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.
Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least."
Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.
"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.
And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.
I bet you she was using it to look around corners in case it came along.,And Hermione had the mirror.,"But he's a ghost, he couldn't die again."
The water.,"I'm pretty sure she didn't havea camera or a mirror, Harry.",And Mrs. Norris?
There was water on the floor that night.,The water.,"I'm pretty sure she didn't havea camera or a mirror, Harry."
She only saw the basilisk's reflection.,There was water on the floor that night.,The water.
Spiders flee before it.,She only saw the basilisk's reflection.,There was water on the floor that night.
It all fits.,Spiders flee before it.,She only saw the basilisk's reflection.
Hermione's answered that too.,Someone would have seen it.,"A dirty, great snake."
Remember what Aragog said about that girl 50 years ago?,Pipes? It's using the plumbing.,Hermione's answered that too.
She died in a bathroom?,Remember what Aragog said about that girl 50 years ago?,Pipes? It's using the plumbing.
What if she never left?,She died in a bathroom?,Remember what Aragog said about that girl 50 years ago?
"Lockhart may be useless, but he's going to try and get into the Chamber.",Ginny.,Her skeleton will lie in the Chamber forever.
At least we can tell him what we know.,"Lockhart may be useless, but he's going to try and get into the Chamber.",Ginny.
"Professor, we have some information for you.",At least we can tell him what we know.,"Lockhart may be useless, but he's going to try and get into the Chamber."
Are you going somewhere?,"Professor, we have some information for you.",At least we can tell him what we know.
You're running away?,"I must say, when I took the job, there was nothing in the description...",You can't go now.
After all you did in your books?,You're running away?,"I must say, when I took the job, there was nothing in the description..."
You wrote them.,Books can be misleading.,After all you did in your books?
You're a fraud.,My books wouldn't have sold as well if people didn't think I'd done those things.,"My dear boy, use your common sense."
You've been taking credit for what other wizards have done.,You're a fraud.,My books wouldn't have sold as well if people didn't think I'd done those things.
Don't even think about it.,"In fact, I'm going to have to do the same to you.",I'd never have sold another book.
To ask you how you died.,What do you want?,"Hello, Harry."
"Who was it, Myrtle?","I was crying, and then I heard somebody come in.",I'd hidden because Olive Hornby was teasing me about my glasses.
Just like that? How?,"And I realized it was a boy, so I unlocked the door to tell him to go away and I died.","But they said something funny, a kind of made-up language."
This is it.,"I just remember seeing a pair of great, big, yellow eyes over there by that sink.",Just like that? How?
"This is it, Ron. I think this is the entrance to the Chamber of Secrets.",This is it.,"I just remember seeing a pair of great, big, yellow eyes over there by that sink."
"Yes, there is.",There's no need for me to stay.,"Well, then, I'll just be..."
You first.,"Yes, there is.",There's no need for me to stay.
All right. Let's go.,It's really quite filthy down here.,Sure you don't want to test it first?
"Thanks, Myrtle.","If you die down there, you're welcome to share my toilet.","Oh, Harry?"
"Now, remember: Any sign of movement, close your eyes straightaway.","Thanks, Myrtle.","If you die down there, you're welcome to share my toilet."
This way.,Go on.,"Now, remember: Any sign of movement, close your eyes straightaway."
It's a snake skin.,It looks like a snake.,What's this?
"Ron! Ron, are you okay?",Harry! Harry,Obliviate!
You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?
I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?
"Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.
"Wake up, wake up.","Ginny! Ginny, please don't be dead.",Okay.
Please wake up.,"Wake up, wake up.","Ginny! Ginny, please don't be dead."
Tom. Tom Riddle.,She won't wake.,Please wake up.
"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.
She's not...?,"What do you mean, she won't wake?",Tom. Tom Riddle.
Are you a ghost?,"She's still alive, but only just.",She's not...?
She's cold as ice.,A memory preserved in a diary for 50 years.,Are you a ghost?
"Ginny, please don't be dead. Wake up.",She's cold as ice.,A memory preserved in a diary for 50 years.
"You've got to help me, Tom.","Ginny, please don't be dead. Wake up.",She's cold as ice.
There's a basilisk.,"You've got to help me, Tom.","Ginny, please don't be dead. Wake up."
"Give me my wand, Tom.",It won't come until it's called.,There's a basilisk.
We've got to go. We've got to save her.,You won't be needing it.,"Give me my wand, Tom."
No. She couldn't. She wouldn't.,"Yes, Harry, it was Ginny Weasley who opened the Chamber of Secrets.","You see, as poor Ginny grows weaker, I grow stronger."
But why?,It was Ginny who set the basilisk on the Mudbloods and Filch's cat Ginny who wrote the threatening messages on the walls.,No. She couldn't. She wouldn't.
And why did you want to meet me?,The very person I was most anxious to meet.,And then who should find it but you?
Hagrid's my friend.,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.,"I knew I had to talk to you, meet you if I could."
"And you framed him, didn't you?",Hagrid's my friend.,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.
I'll bet Dumbledore saw right through you.,Only Dumbledore seemed to think he was innocent.,It was my word against Hagrid's.
"Well, you haven't finished it this time.",I would be able to lead another to finish Salazar Slytherin's noble work.,I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day
"In a few hours, the Mandrake Draught will be ready.","Well, you haven't finished it this time.",I would be able to lead another to finish Salazar Slytherin's noble work.
And everyone who was Petrified will be all right again.,"In a few hours, the Mandrake Draught will be ready.","Well, you haven't finished it this time."
Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?
Voldemort was after your time.,Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?
You. You're the Heir of Slytherin.,"Voldemort is my past, present and future.",Voldemort was after your time.
You're Voldemort.,You. You're the Heir of Slytherin.,"Voldemort is my past, present and future."
Albus Dumbledore is the greatest sorcerer in the world.,"No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.",Surely you didn't think .I was going to keep my filthy Muggle father's name?
He'll never be gone.,Dumbledore's been driven out of this castle by the mere memory of me.,Albus Dumbledore is the greatest sorcerer in the world.
Not as long as those who remain are loyal to him.,He'll never be gone.,Dumbledore's been driven out of this castle by the mere memory of me.
Fawkes?,Not as long as those who remain are loyal to him.,He'll never be gone.
Ginny?,Lord Voldemort will return .very much alive.,"In a few minutes, Ginny Weasley will be dead, and I will cease to be a memory."
Ginny?,Stop. No!,What are you doing?
Don't worry.,"Harry, you're hurt.","Riddle made me, and..."
"Ginny, you need to get yourself out.",Don't worry.,"Harry, you're hurt."
Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.
"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out."
I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.
Of course.,I just wasn't quick enough.,"You were brilliant, Fawkes."
Phoenix tears have healing powers.,Of course.,I just wasn't quick enough.
Thanks.,Phoenix tears have healing powers.,Of course.
"It's all right, Ginny.",Thanks.,Phoenix tears have healing powers.
It's over.,"It's all right, Ginny.",Thanks.
It's just a memory.,It's over.,"It's all right, Ginny."
"Yes, sir.","You both realize, of course that in the past few hours, you have broken perhaps a dozen school rules.",This is just like magic!
"Yes, sir.",There is sufficient evidence to have you both expelled.,"Yes, sir."
It's just...,"Am I right, Harry?",And second I sense that something is troubling you.
"You see, sir, I couldn't help but notice certain things, certain...",It's just...,"Am I right, Harry?"
Certain similarities between Tom Riddle and me.,"You see, sir, I couldn't help but notice certain things, certain...",It's just...
Voldemort transferred some of his powers to me?,"If I'm not mistaken, Harry he transferred some of his powers to you the night he gave you that scar.",Because Lord Voldemort can speak Parseltongue.
So the Sorting Hat was right.,Not intentionally but yes.,Voldemort transferred some of his powers to me?
I should be in Slytherin.,So the Sorting Hat was right.,Not intentionally but yes.
Because I asked it to.,"Why, then, did the Sorting Hat place you in Gryffindor?","Determination, resourcefulness and if I may say so, a certain disregard for the rules."
Godric Gryffindor.,Be careful.,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.
Dobby.,It would take a true Gryffindor to pull that out of the hat.,Godric Gryffindor.
So this is your master.,Dobby.,It would take a true Gryffindor to pull that out of the hat.
The family you serve is the Malfoys.,So this is your master.,Dobby.
Don't worry. I will be.,"Well, let us hope that Mr. Potter will always be around to save the day.",The consequences for the one responsible would be severe.
Sir? I wonder if I could have that?,"Come, Dobby. We're leaving.",Dumbledore.
Mr. Malfoy.,Sir? I wonder if I could have that?,"Come, Dobby. We're leaving."
