response,context,context/0
"Oh,did you try and take a shower? I'm sorry, I only have one clean towel.","No,I've just been watching you sleep.",Hey. Did the cold wake you?
"Okay. I'd offer you some coffee, but I don't have any, so you're gonna have to...",I don't buy into the myth that we need to shower every day.,"Oh,did you try and take a shower? I'm sorry, I only have one clean towel."
"I think I left something on the bookshelf. Whoops. Oh, no, oh, look  Oh, I'm disgusting.","I'm boycotting coffee. You may as well drink the tears of a colombian peasant farmer. God, I love this place. Good thing I don't have a job because I could stay here all day.","Okay. I'd offer you some coffee, but I don't have any, so you're gonna have to..."
"Whoa, uh, okay. Beep beep. Backing up, um...","Wow, you're open about your sexuality and that's one of the reasons I love you. Did I just say that? Oh well. Cat's out of the bag. I love you.","I think I left something on the bookshelf. Whoops. Oh, no, oh, look  Oh, I'm disgusting."
What? No. Yes!,Oh my god! Are you married? Is this your wife?,Barney... Oh!
Yes.,Yes?,What? No. Yes!
"Come on, baby. please, no. You don't understand. What have I done? This is the worst. How could you...?  You're not going anywhere. Live claritin clear. Wow, that was close. That hippie chick wouldn't leave. She was ready to squat here.",You son of a bitch! I can't believe I let you enter my sacred temple.,Yes.
She was freakishly immune to everything in my apartment... Except you. You're better than prn.,"Well, she'd have to with your spring-loaded toilet seat, wouldn't she?","Come on, baby. please, no. You don't understand. What have I done? This is the worst. How could you...?  You're not going anywhere. Live claritin clear. Wow, that was close. That hippie chick wouldn't leave. She was ready to squat here."
"How would you like to extend your stay here? All you'd have to do is pretend to be my wife, and scare off the occasional one-night stand. I know,I know. You've got your ethics. You've got your principles...",Thank you.,She was freakishly immune to everything in my apartment... Except you. You're better than prn.
Really?,I'll do it.,"How would you like to extend your stay here? All you'd have to do is pretend to be my wife, and scare off the occasional one-night stand. I know,I know. You've got your ethics. You've got your principles..."
I'll take it.,"Barney,you've clearly got some serious mother issues that have left you the emotional equivalent of a scavenging sewer rat. But, in my other apartment, I would be living with an actual scavenging sewer rat, so you win.",Really?
Can you pass the arts and leisure?  Can you pass the arts and leisure?,"I was thinking like this collared shirt and these pin...  Oh, you know what? Shut up.",What are you going to wear?
"Lily, I can explain...","Honey, I'm... Barney, what the hell is going on here?",I just did.
Brava. That was incredible. And that slap was genius. You did not hold back.,Just get out. This is what I get after I worked as a stripper for four years to put you through medical school? I got breast implants for you. I...  I was just about to turn on the tears.,I'm so sorry. I-i didn't know he had...
"Fair enough. I have to say, it's kind of nice having food around here for a change.","Yeah, that I just always wanted to do.",Brava. That was incredible. And that slap was genius. You did not hold back.
What? You're my wife. You can tell me anything.,"You know... Oh nah, never mind.","Fair enough. I have to say, it's kind of nice having food around here for a change."
What did you have in mind?,"Well,if you really wanted to sell this ruse, we should try to make this place a little more... You know, homey. Like... Like a woman would actually live here.",What? You're my wife. You can tell me anything.
"Hey, if my bed's going suit up, it's going to do it right. Want to give it a whirl?","Oh,I think we made the right decision going for the custom-made italian sheets.",Good man.
"All right, I'm going to head out, hit the bars. What are you going to do tonight?",Oh. Ooooh!,"Hey, if my bed's going suit up, it's going to do it right. Want to give it a whirl?"
Please.,"Oh, I was just going to watch Letterman but, God this bed is so comfy. I wish you had a TV in here.  Okay, seriously, what do you do for a living?","All right, I'm going to head out, hit the bars. What are you going to do tonight?"
Eh. After the monologue.,I thought you were going out.,Please.
Aaaaaah!,I don't know. I think he's in love with me.,"Oh, what was with him?"
I can't believe we just... You and I... What have we done?,Aaaaaaaaaaah!,Aaaaaah!
Just went to sleep? I don't sleep in the same bed as a woman and not make a move. How could... You! You spooned me against my will.,Nothing. Nothing happened. We... We just went to sleep.,I can't believe we just... You and I... What have we done?
"We... We redecorated my place. We stayed in on a friday night to watch Letterman, and then slept together and didn't have sx? Oh my God! We're in a relationship!","Hey,it takes two to cuddle.",Just went to sleep? I don't sleep in the same bed as a woman and not make a move. How could... You! You spooned me against my will.
"You were supposed to be the vaccine, but you gave me the disease. You gotta go.",That's what you think a relationship is?,"We... We redecorated my place. We stayed in on a friday night to watch Letterman, and then slept together and didn't have sx? Oh my God! We're in a relationship!"
Uh-uh. You gotta go.,"Barney. I don't think you're mad at me. You're mad at yourself. You let down your guard, and let someone into your life, and... And it actually felt okay. And that terrifies you.","You were supposed to be the vaccine, but you gave me the disease. You gotta go."
A certain standard of living? You didn't pay a single...,"Hey, you can't just kick me out! I put a lot of work into this place, and I've grown accustomed to a certain standard of living.",Uh-uh. You gotta go.
"Oh, hi, Lily. We were just in the neighborhood, thought we'd get some lunch. We didn't even know you'd be here. .",I'm sorry.,"Welcome to big Wave Luau. Can I tiki your drink order? Aw, crap."
I didn't catch your name. Did you guys catch her name?,"Aloha, island visitors. The big wave brought you to our humble luau. For that, we thank you. Or in my native tongue, mahalo.",I don't think that's how you're supposed to greet a customer at Big Wave Luau.
"Really? Laid, you say?","Yeah, well, it was supposed to be, but my professor's like the toughest grader I've ever seen. She had like a bad divorce this summer and now she's taking it out on us. To tell you the truth, I think she just needs to get laid.","I thought you said your semester was gonna be a piece of cake. I remember because you were eating a piece of cake at the time and you said, dude, my semester is gonna be this."
She hot?,"You wouldn't be into her.She's, like, in her late 40s.","Really? Laid, you say?"
And she's looking for some action. Sounds to me like she could be a cougar.,"Yeah, I guess she's kind of hot, yeah.",She hot?
"A cougar. An older woman, usually in her 40s or 50s, single and on the prowl for a younger man.",A what?,And she's looking for some action. Sounds to me like she could be a cougar.
"Marshall, I've thought it over and I accept your challenge.",What's a woman in her 60s or 70s? A turtle?,"A cougar. An older woman, usually in her 40s or 50s, single and on the prowl for a younger man."
"Tomorrow, the cougar hunt begins.",I didn't challenge you to have sx with...,"Marshall, I've thought it over and I accept your challenge."
"Oh, now you're gonna bash her figure. Real classy, Ted.",It was an whole chicken. And did I mention she had 12 sides?,"Ted, that girl didn't quit. You destroyed her."
"Okay, let's take a look. Oh, yeah, it's a cougar all right. A prime specimen. See, you can identify a cougar by a few key characteristics. Start with the hair. The cougar keeps up with current hairstyles as a form of camouflage. The prey may not realize that he's engaged a cougar until he's already being dragged, helpless, back to her lair. Now, the blouse. The cougar displays maximum cleavage possible to captivate her prey. If you're watching them bounce, she's about to pounce. See the claws? Long and sharp, to ward off rival females... Or open alimony checks. Yeah, this one's a beaut. Okay, let the hunt begin.","Okay, wait, wait, wait. That's professor Lewis's office there.","Man, that guy is a total, well..."
"Who do you rather have grading your papers: a savage, man-eating jungle cat, or a purring, satisfied kitty?","Wait, wait, wait.I'm not so sure I'm comfortable with you hunting my constitutional law professor.","Okay, let's take a look. Oh, yeah, it's a cougar all right. A prime specimen. See, you can identify a cougar by a few key characteristics. Start with the hair. The cougar keeps up with current hairstyles as a form of camouflage. The prey may not realize that he's engaged a cougar until he's already being dragged, helpless, back to her lair. Now, the blouse. The cougar displays maximum cleavage possible to captivate her prey. If you're watching them bounce, she's about to pounce. See the claws? Long and sharp, to ward off rival females... Or open alimony checks. Yeah, this one's a beaut. Okay, let the hunt begin."
"Scusi, I am Luigi, italian exchange student. I was, uh, walking to class, but then I noticed you... Bella principessa...","Go, Barney. Go mount and stuff that cougar.","Who do you rather have grading your papers: a savage, man-eating jungle cat, or a purring, satisfied kitty?"
Direct. I like that. The name's Barney. What I want... is you.,Tell me what you want or get out.,"Scusi, I am Luigi, italian exchange student. I was, uh, walking to class, but then I noticed you... Bella principessa..."
"Oh, my god. Incredible.","Are you kidding? He's Hammond Druthers. He's a legend. I'm just part of his team. This building is huge for the firm, so it's really important we don't blow it.  All right, enough!","Ted, you should pitch your building to Druthers."
C minus? What are you talking about? I just pulled an all-nighter!,Hmm... C minus.,"Oh, my god. Incredible."
"I know, I know.","I'd ask you how last night went, but we had a pop quiz today. Nobody got higher than a c-minus.",I'm not sure I like your tone. You know what? Now you just lost the ball.
"Look, I miscalculated. I thought she'd be old and fragile, like most cougars. But kitty's got claws. Don't worry though. Tonight, I'm seeing her again.",You claim to have so much sx. I only assumed you'd be good at it.,"I know, I know."
"I promise you, after tonight, that cougar will be my pet, and I its master.","Just let it go, man. You're making things worse.","Look, I miscalculated. I thought she'd be old and fragile, like most cougars. But kitty's got claws. Don't worry though. Tonight, I'm seeing her again."
I think I'm falling in love with you.,"I promise you, after tonight, that cougar will be my pet, and I its master.","Just let it go, man. You're making things worse."
What? No.We had sx yesterday.,"Oh, God. That wasn't your first time, was it? Although that would explain a lot.",I think I'm falling in love with you.
Do you not see the powerbar in my hand? I'm fueling up.,"Dude, you're killing me. You didn't tame the cougar. You just made her angrier.",Fine. Here's the ball. At least you have one now.
"Oh, yeah. And tonight, just like John Mellencamp, I am going to get rid of the cougar once and for all. Get it? 'Cause that's what he did with his name.",So you're going back over there?,Do you not see the powerbar in my hand? I'm fueling up.
I can't stop thinking about you. Please give me another chance.,"Oh, yeah. And tonight, just like John Mellencamp, I am going to get rid of the cougar once and for all. Get it? 'Cause that's what he did with his name.",So you're going back over there?
"But you don't understand. See, I've been going easy on you, holding back, 'cause I was afraid you'd break a hip or something. But, this time, no mercy.I don't care how long it takes days, weeks, half a year.","Barney, I teach all day. It's the last thing I want to do when I get home.",I can't stop thinking about you. Please give me another chance.
"That's not true. It's just temporarily dislocated. Seriously, I'm fine.",He broke his hip.,What happened?
"Yeah, she was.",Mr. Eriksen. Hello. I graded your paper tonight. I was pleasantly surprised.,"Professor Lewis, hi."
"B-plus?! Marshall, after I've gone through my eight weeks of physical therapy, I am going to get you that A!",B plus.,"Yeah, she was."
It was an amazing safari. I can't wait to show you guys the slides!,Let her go. She belongs out there in the wild. You should feel proud. You fought the cougar and lived.,"B-plus?! Marshall, after I've gone through my eight weeks of physical therapy, I am going to get you that A!"
"Oh, hi, Lily. We were just in the neighborhood, thought we'd get some lunch. We didn't even know you'd be here. .",I'm sorry.,"Welcome to big Wave Luau. Can I tiki your drink order? Aw, crap."
I didn't catch your name. Did you guys catch her name?,"Aloha, island visitors. The big wave brought you to our humble luau. For that, we thank you. Or in my native tongue, mahalo.",I don't think that's how you're supposed to greet a customer at Big Wave Luau.
"Really? Laid, you say?","Yeah, well, it was supposed to be, but my professor's like the toughest grader I've ever seen. She had like a bad divorce this summer and now she's taking it out on us. To tell you the truth, I think she just needs to get laid.","I thought you said your semester was gonna be a piece of cake. I remember because you were eating a piece of cake at the time and you said, dude, my semester is gonna be this."
She hot?,"You wouldn't be into her.She's, like, in her late 40s.","Really? Laid, you say?"
And she's looking for some action. Sounds to me like she could be a cougar.,"Yeah, I guess she's kind of hot, yeah.",She hot?
"A cougar. An older woman, usually in her 40s or 50s, single and on the prowl for a younger man.",A what?,And she's looking for some action. Sounds to me like she could be a cougar.
"Marshall, I've thought it over and I accept your challenge.",What's a woman in her 60s or 70s? A turtle?,"A cougar. An older woman, usually in her 40s or 50s, single and on the prowl for a younger man."
"Tomorrow, the cougar hunt begins.",I didn't challenge you to have sx with...,"Marshall, I've thought it over and I accept your challenge."
"Oh, now you're gonna bash her figure. Real classy, Ted.",It was an whole chicken. And did I mention she had 12 sides?,"Ted, that girl didn't quit. You destroyed her."
"Okay, let's take a look. Oh, yeah, it's a cougar all right. A prime specimen. See, you can identify a cougar by a few key characteristics. Start with the hair. The cougar keeps up with current hairstyles as a form of camouflage. The prey may not realize that he's engaged a cougar until he's already being dragged, helpless, back to her lair. Now, the blouse. The cougar displays maximum cleavage possible to captivate her prey. If you're watching them bounce, she's about to pounce. See the claws? Long and sharp, to ward off rival females... Or open alimony checks. Yeah, this one's a beaut. Okay, let the hunt begin.","Okay, wait, wait, wait. That's professor Lewis's office there.","Man, that guy is a total, well..."
"Who do you rather have grading your papers: a savage, man-eating jungle cat, or a purring, satisfied kitty?","Wait, wait, wait.I'm not so sure I'm comfortable with you hunting my constitutional law professor.","Okay, let's take a look. Oh, yeah, it's a cougar all right. A prime specimen. See, you can identify a cougar by a few key characteristics. Start with the hair. The cougar keeps up with current hairstyles as a form of camouflage. The prey may not realize that he's engaged a cougar until he's already being dragged, helpless, back to her lair. Now, the blouse. The cougar displays maximum cleavage possible to captivate her prey. If you're watching them bounce, she's about to pounce. See the claws? Long and sharp, to ward off rival females... Or open alimony checks. Yeah, this one's a beaut. Okay, let the hunt begin."
"Scusi, I am Luigi, italian exchange student. I was, uh, walking to class, but then I noticed you... Bella principessa...","Go, Barney. Go mount and stuff that cougar.","Who do you rather have grading your papers: a savage, man-eating jungle cat, or a purring, satisfied kitty?"
Direct. I like that. The name's Barney. What I want... is you.,Tell me what you want or get out.,"Scusi, I am Luigi, italian exchange student. I was, uh, walking to class, but then I noticed you... Bella principessa..."
"Oh, my god. Incredible.","Are you kidding? He's Hammond Druthers. He's a legend. I'm just part of his team. This building is huge for the firm, so it's really important we don't blow it.  All right, enough!","Ted, you should pitch your building to Druthers."
C minus? What are you talking about? I just pulled an all-nighter!,Hmm... C minus.,"Oh, my god. Incredible."
"I know, I know.","I'd ask you how last night went, but we had a pop quiz today. Nobody got higher than a c-minus.",I'm not sure I like your tone. You know what? Now you just lost the ball.
"Look, I miscalculated. I thought she'd be old and fragile, like most cougars. But kitty's got claws. Don't worry though. Tonight, I'm seeing her again.",You claim to have so much sx. I only assumed you'd be good at it.,"I know, I know."
"I promise you, after tonight, that cougar will be my pet, and I its master.","Just let it go, man. You're making things worse.","Look, I miscalculated. I thought she'd be old and fragile, like most cougars. But kitty's got claws. Don't worry though. Tonight, I'm seeing her again."
I think I'm falling in love with you.,"I promise you, after tonight, that cougar will be my pet, and I its master.","Just let it go, man. You're making things worse."
What? No.We had sx yesterday.,"Oh, God. That wasn't your first time, was it? Although that would explain a lot.",I think I'm falling in love with you.
Do you not see the powerbar in my hand? I'm fueling up.,"Dude, you're killing me. You didn't tame the cougar. You just made her angrier.",Fine. Here's the ball. At least you have one now.
"Oh, yeah. And tonight, just like John Mellencamp, I am going to get rid of the cougar once and for all. Get it? 'Cause that's what he did with his name.",So you're going back over there?,Do you not see the powerbar in my hand? I'm fueling up.
I can't stop thinking about you. Please give me another chance.,"Oh, yeah. And tonight, just like John Mellencamp, I am going to get rid of the cougar once and for all. Get it? 'Cause that's what he did with his name.",So you're going back over there?
"But you don't understand. See, I've been going easy on you, holding back, 'cause I was afraid you'd break a hip or something. But, this time, no mercy.I don't care how long it takes days, weeks, half a year.","Barney, I teach all day. It's the last thing I want to do when I get home.",I can't stop thinking about you. Please give me another chance.
"That's not true. It's just temporarily dislocated. Seriously, I'm fine.",He broke his hip.,What happened?
"Yeah, she was.",Mr. Eriksen. Hello. I graded your paper tonight. I was pleasantly surprised.,"Professor Lewis, hi."
"B-plus?! Marshall, after I've gone through my eight weeks of physical therapy, I am going to get you that A!",B plus.,"Yeah, she was."
It was an amazing safari. I can't wait to show you guys the slides!,Let her go. She belongs out there in the wild. You should feel proud. You fought the cougar and lived.,"B-plus?! Marshall, after I've gone through my eight weeks of physical therapy, I am going to get you that A!"
"Hey, guys.",You got it.,"Oh, but when we tell the story, can you leave out the part where I hesitate?"
"Uh, if there were any shame in a dude getting a pedicure I don't think there would have been a feature about it in Details magazine.",Wow. A pedicure.,"Hey, guys."
"Oh, congratulations, Lily. Marshall, you're getting married? What the hell?",We're going to Atlantic City to elope right now!,"Uh, if there were any shame in a dude getting a pedicure I don't think there would have been a feature about it in Details magazine."
"Hell, yeah, I'm in! Just... I'm almost done.",So are you in or not?,"Oh, congratulations, Lily. Marshall, you're getting married? What the hell?"
"Ah, A.C., always in decline, never hitting bottom. It's good to be back, old friend.",And something blue. Somebody should really check on this lady.,Wow. Look at this place. I guess I'll have my pick of something old.
"Oh, uh, once or twice.",You been here before?,"Ah, A.C., always in decline, never hitting bottom. It's good to be back, old friend."
"Ah, good to see you, too. Three times, maybe.",Barney!,"Oh, uh, once or twice."
Yeah.,I'm ready. Let's get married.,The wedding chapel... This is it. Are you ready to do this?
"No, you guys go ahead. I'm going to find the veil.","Yeah, okay.","Or we looked everywhere, and we couldn't find one."
"Okay, I got the veil. She wasn't ready to be married. All right, let's talk bachelor party. Are we thinking full-on strip club, or should we rent a room and have a private toy show?","Oh, yeah, definitely.","No, I mean do you want to play craps."
"Marshall, I'm your best man.","Barney, no.",What did you just say?
"And as your best man, I have to throw you a bachelor party. That's part of being a best friend.",Right here.,You're not my best man.
Of course.,"Oh, good. Did you get the veil?",18 minutes...
Unbelievable!,Dude!,And it took us exactly 18 minutes. We went to a strip club.
Bright side: the bachelor party continues!,"About the marriage laws of the state where I work in a wedding chapel? Yeah, I'm pretty sure.","You guys, take it easy, guys. Are you sure about this?"
Hi.,"Hey, it's Barney! Barney!","No! I wasn't. I was checking out the hot body underneath the shirt. Okay, look, maybe I was looking at your shirt, but it's a, it's a funny, funny shirt."
See you.,Legen-...-dary!,Hi.
A... Chinese guy?,What the hell was that?,See you.
Vultures.,"Geez, you go to a vending machine for 30 seconds.","Okay, this is a good plan B. Judges are people. People go to the bathroom. A judge is bound to come by eventually, and we'll get married. I'm sure we won't be waiting long."
"Guys, let's bail. This is never gonna happen.",Sweet.,"Yes, I'll leave it on."
"You throwing a big, free party with lots of booze and food and all your single, desperate girlfriends from college? Yeah, glad we dodged that bullet.","Look, I know this is turning into a bit of a disaster, but believe me, it's better than the alternative.","Guys, let's bail. This is never gonna happen."
They broke up over the summer. Lily totally ran off to San Francisco and these two just had sx in the closet. What? We're under oath.,"All right, what was that look? What's going on?",I have.
"Yeah, we are. He's a judge.","No, we're not.",They broke up over the summer. Lily totally ran off to San Francisco and these two just had sx in the closet. What? We're under oath.
"Uh, yeah. Courthouse. Oath. We're under it.",Wh-- Did we take an oath? Do you even know what an oath is?,"Yeah, we are. He's a judge."
I can get us that money.,"Deal. 5,000, okay, we can do that. Come on, everybody. Fork over your cash. Don't think. Just do it.",What?
Have you noticed that all day today Chinese guys have been coming up and saying hi to me?,How?,I can get us that money.
"Well, those are my old gambling buddies. Truth is... I used to come here all the time. Play an old Chinese game called Shing Hasabu Shing. Had a small gambling problem. Actually, it wasn't so small. I kind of lost my entire life's savings. But tonight, I don't know, I'm feeling hot. I think I can win us that money.",Yes. Have you noticed I haven't asked about it because I'm too scared of the answer?,Have you noticed that all day today Chinese guys have been coming up and saying hi to me?
"Uh, it's not gambling if you absolutely know you're going to win. I'll get us that money. I swear it, nay... I oath it.","No, we're not letting you gamble all our money away.","Well, those are my old gambling buddies. Truth is... I used to come here all the time. Play an old Chinese game called Shing Hasabu Shing. Had a small gambling problem. Actually, it wasn't so small. I kind of lost my entire life's savings. But tonight, I don't know, I'm feeling hot. I think I can win us that money."
"Marshall, please. Don't you think I know what I'm... My God, you're right.","I totally understand the game, Theodore. Barney, split your tiles. You can triple your money if you find the jellybean.","No, you don't."
"Did you guys see me? I was on fire tonight. Man, I can't wait to get back to the shore. God, I love gambling!","Thanks, Barney.",Wow. It's beautiful.
Why can't I do it just a little?,"When we get home, we're gonna go to a little meeting. Okay?","Did you guys see me? I was on fire tonight. Man, I can't wait to get back to the shore. God, I love gambling!"
"Did I bet someone that they'd call it off? I did, didn't I? Who'd I bet?",After I spent all this money on a bridesmaid shirt?,Are you kidding me? You guys are calling off another wedding?
"Oh, man, I'm so excited. I couldn't sleep last night. I bet you guys couldn't either.","Just Doc. He's creepy. I mean, the guy went to medical school. What's he doing living with six coal miners?",You're scared of the Seven Dwarfs?
"Ah, only the gala event for the grand opening of Sharper Image's 500th store. Didn't you get my email?",Why?,"Oh, man, I'm so excited. I couldn't sleep last night. I bet you guys couldn't either."
"Come on, it's on me! I'm buying three of you foot massagers and one of you a nose hair trimmer. You know who you are.","No, I blocked your address after the fourth time you sent me the video of the monkey sniffing his own butt.","Ah, only the gala event for the grand opening of Sharper Image's 500th store. Didn't you get my email?"
"Come on, let's go.","Come on, it's on me! I'm buying three of you foot massagers and one of you a nose hair trimmer. You know who you are.","No, I blocked your address after the fourth time you sent me the video of the monkey sniffing his own butt."
To the Willowbrook Mall!,"All right, I'm in.","Come on, let's go."
Why not?,"No, I don't go to malls! Sorry, I just don't like malls.","Come on, it'll be fun."
"Ted, you should be happy Robin has a secret. The more you learn about a person, the better chance you have of hitting the fatal 'oh' moment.","What, I don't get it, why won't Robin tell me why she hates malls?","Let it go. And who gets trapped under a fake boulder at the mall? Ted: Not me in Ohio when I was nine, that's for sure."
"Yeah, that moment when you find out that one detail about a person that is going to be a deal breaker.",The 'oh' moment?,"Ted, you should be happy Robin has a secret. The more you learn about a person, the better chance you have of hitting the fatal 'oh' moment."
Oh.,It's a promise ring. I made a pact with God to stay a virgin till I'm married.,"Yeah, that moment when you find out that one detail about a person that is going to be a deal breaker."
Oh.,"I don't have an eating disorder. It's just when I put food in my mouth, I chew it and then I spit it out.",Oh.
Oh.,I just turned 30.,Oh.
"So, trust me, you want to postpone knowing anything about each other for as long as possible.",Oh.,I just turned 30.
"You are such a cutie pie. Here's a quarter, go play something on the jukebox.","Yeah, I agree with Ted. In a real relationship, you share everything. That's why Marshall and I don't keep any secrets.",I used to be a dude.
I can think of tons of things there's no way Marshall told you,It's true. They tell each other everything.,"You are such a cutie pie. Here's a quarter, go play something on the jukebox."
Do you know about the time the Marshall was in Trenton?,Try me.,I can think of tons of things there's no way Marshall told you
Bill's bachelor party in Memphis.,Doggie ate his pants. Yep.,Do you know about the time the Marshall was in Trenton?
"OK, Seattle.","Oh, when they had to pump out all the nickels from his stomach?",Bill's bachelor party in Memphis.
Damn.,"Trick question, Marshall's never been to the Pacific Northwest because he's afraid of Sasquatch.","OK, Seattle."
"Fine, do you want to know what Robin's secret is?",What happened next?,"So, after the shower, I was brushing my teeth, and I was like, oh man, I wanted to have some orange juice, I should have done that first, but I already had the toothpaste on the toothbrush so I just went ahead and brushed them anyway."
"Of course I know. She couldn't look at us. Her face got flushed. That's shame. Our friend, Robin, used to do prn, wait for it, ography.",You know?,"Fine, do you want to know what Robin's secret is?"
They speak French there too? God! That place is a mess.,"My friend in Canada who got married way too young, they had to do their vows twice, once in French.",No.
"Guys, there's not way Robin's married. It's ludicrous to even suggest it.","Oh, I'm sure there is. Just like I have a friend who wet his bed till he was ten. Use your brain, Ted.","So, you don't think there's any friend from Canada?"
'Cause it's prn.,Thank you Barney.,"Guys, there's not way Robin's married. It's ludicrous to even suggest it."
"20,000 says it's prn.",Robin is not in prn. I'll bet you anything that she's married.,I need another beer.
"Well then, what do you have?","I don't have 20,000.","20,000 says it's prn."
I got it. The ultimate wager. Slap bet.,No.,Well.
Your hand is monstrous.,OK.,I haven't seen him in years. It's just a part of my life I wanna forget. Just please don't tell anyone about this.
I'm pretty sure we're gonna call is mistress.,"See, that's just it. I'm not the boyfriend, I'm the mistress. No, not the mistress. The mastress. Master. What do you call it?","Yeah, well, you still shouldn't have told us. I mean, what kind of boyfriend are you?"
"Don't get too cocky, Slappy. I just got a shipment of prn from Canada I have to go through.",I can see my hand print on your face.,"You know what, in some countries, if you've been separated for longer than five years, technicall, you're no longer married. I can check it out at the law library at school."
Just because you were right doesn't mean I'm wrong.,I won the bet. Why are you still searching?,"Don't get too cocky, Slappy. I just got a shipment of prn from Canada I have to go through."
"Canadian prn. Trust me when I tell you their universal health care system doesn't cover breast implants. If I have to sit through one more flat-chested Nova Scotian riding a Mountie on the back of a Zamboni, I'll go oat of my mind.","Oh, right, like you need an excuse to watch prn.",Just because you were right doesn't mean I'm wrong.
"You, you got something to say to me?",He moved there for business.,You are driving me crazy. No wonder your fake husband moved to Hong Kong.
Don't count on it. I've been practicing on a tree trunk.,"You told him? Lily: I had to. I'm Slap Bet Commissioner. Baby, this hurts me more than it's gonna hurt you.","Uh, let's see. Uh, first, I took the subway to school, and I got a bagel. Then I went to the library and found out Robin was never married. Crazy. And then I was hungry again so I went down to the vending machine..."
Oh my God. Are you gonna cry? Marshall: No. You're gonna cry.,One because you lied. And two for being prematurely slapped. Three slaps.,Three?
So I just got a very interesting phone call.,"I have shared more of myself with you than I have ever shared with anyone. I'm asking for this one secret, which has nothing to do with us, to just be mine.",I just don't think it's healthy to keep big secrets in a relationship. My parents didn't really talk to each other for thirty years and now they're divorced.
I know Robin's secret.,What are you talking about?,So I just got a very interesting phone call.
"That's right, I know your secret, Robin. Or should I say Robin Sparkles? Robin: How do you know that name? Barney: 'Cause I know the truth. And I am about to show it to you right now.",What?,I know Robin's secret.
"Gather around, Ted, you're gonna wanna see this.","That's right, I know your secret, Robin. Or should I say Robin Sparkles? Robin: How do you know that name? Barney: 'Cause I know the truth. And I am about to show it to you right now.",What?
What?,Yeah. No I don't.,"Gather around, Ted, you're gonna wanna see this."
"Yeah, it's not gonna stay a secret. You see, in my research, I came upon a certain gentleman in Malaysia who is in possession of a certain video tape. He just emailed me that it will be up and running on MySpace in about, right now!",Robin wants to keep this a secret so it's gonna stay a secret.,What?
"Robin's world is about to be turned upside-down. I mean, I'm guessing.","Yeah, it's not gonna stay a secret. You see, in my research, I came upon a certain gentleman in Malaysia who is in possession of a certain video tape. He just emailed me that it will be up and running on MySpace in about, right now!",Robin wants to keep this a secret so it's gonna stay a secret.
"Robin, please don't panic. I'm only going to show enough to prove to Marshall that I was right.","Barney, don't, okay.","Robin's world is about to be turned upside-down. I mean, I'm guessing."
Yeah you were.,I wanna stress that I was young.,I don't wanna get slapped again.
They never do.,And I didn't know any better.,Yeah you were.
It always does.,And it started out as an innocent modeling job.,They never do.
"Well, obviously, I've been proven right, so in the interest of Robin's dignity, I won't show anymore. Plus, it's getting late. It's already slap o'clock.",Oh my God.,"Please, Mr. Johnson, I'm sorry I was a bad girl. Please don't give me detention. Isn't there something I can do to make it up to you?"
I'm gonna go with the five for eternity.,"Yeah, but the constant fear of knowing that at any moment you can get slapped in the face would drive you crazy.","No, wait, why get 10 when you can get 5?"
"Wow, we're gonna watch this a lot. Robin: I even wore a bedazzled jean jacket.","So, just to be clear, you wanted everybody to go to the mall today?",Let's go to the mall today! Everybody loves the mall
Aw.,"You know what, you know me better now. That feels kinda nice.","Hey, just so you know, 16-year-old me would have been all over you. You could have been the girlfriend in Canada I told everyone I had. Hey, I'm really sorry I pried this out of you. I probably should have left it alone."
Did you have to laugh like that every time? Robin: Yes.,"Everybody come and play. Throw every last care away. Let's go to the mall, today!",That's one.
"Okay. All-night rave, abandoned tire factory in Newark. We're on the list. Who's in?","I'm gonna rock your body anyway. I'm going to rock your body 'til Canada Day. Everybody, come and play. Throw every last care away. Let's go to the mall, today! Today, today, today, today. Let's go to the mall ...","No, she doesn't wanna wait."
"Private jet. Teeterboro Airport, skinny-skydiving. Who's in?",- No.,- Nope.
"One beer. Bar, downstairs, 15 second walk. Who's in?","- No, thanks.",- Nope.
Hi. Have you met me?,"It got so bad, Barney tried to be his own wingman.",Shh... Lily went sleepy-bye.
"Yes. And do you know why? Hang on to your bedsores, grandparents from Willy Wonka, because guess who's on his way up to this apartment right now? My... wait for it... brother, James. React.",- No.,"Finally, he decided to bring in reinforcements."
"- Yeah. He's the awesome-est, most best looking-est, greatest guy ever.",- You have a brother?,- Hey!
That's what I just said.,He's exactly like Barney.,"- Yeah. He's the awesome-est, most best looking-est, greatest guy ever."
Is gimme five back?,"Awesome, as per yoozh. I just went skinny-skydiving. Legendary. And my laser tag team, just made it to regional finals.Legendarier. And by now you've noticed the suit. go 'head, touch it. Handcrafted by Pietro Dellacamera, Milan's famous 101-year-old tailor who upon completing the very last stitch in this suit dropped dead, which is ironic because that is how gorgeous I look in it. C'mon. Gimme five.","Anyway, James, how have you been?"
"Guys, gimme five is back!","Oh, yeah. I put it in my blog this morning.",Is gimme five back?
Please.,"So, I have to ask, there's a story here.","- You, too."
"I'll tell you what James is gonna do. He's gonna do the job you've been neglecting. And, as always, he'll do it a lot better than you ever did. Ted... James is my wingman now.",So what are you guys gonna do tonight?,Stop asking me! You know what you two are? You're little racists!
